name,ra,dec,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z,yAperMag3_AB,yAperMag3Err_AB
SDSS J095530.13-004528.6,148.87557059237218,-0.7579539674976601,21.64967,0.15643959,20.014605,0.02213598,19.238928,0.017465157,18.89566,0.019664101,18.623718,0.039494358,18.6729,0.031740602
SDSS J095530.62-004642.2,148.8776138230732,-0.7784039569783856,19.590546,0.036348272,18.557934,0.015256281,18.076708,0.013001827,17.886362,0.015282619,17.7746,0.021204624,17.8304,0.01626533
SDSS J095531.91-004651.3,148.88296833689958,-0.7809231660399826,19.854856,0.04185578,19.692272,0.019113263,19.34774,0.017317334,19.354095,0.022863781,19.367596,0.06446486,19.2104,0.05003268
SDSS J095518.82-005005.3,148.8284447850524,-0.8348138689493343,21.788105,0.17649563,21.013868,0.036568794,20.706982,0.03803035,20.567574,0.04839306,20.335178,0.1543648,20.3859,0.14651713
SDSS J095510.69-004731.5,148.7945812878407,-0.79210766720922,20.7345,0.07237502,18.391188,0.0211933,17.444195,0.011409438,17.058804,0.01067983,16.832178,0.014370281,16.799,0.007752367
SDSS J095606.93-004501.4,149.02887899258252,-0.7503901734660566,20.789612,0.07817186,19.845854,0.020199796,19.44441,0.019008037,19.221106,0.021723041,19.2664,0.061722286,19.3214,0.056271445
SDSS J095628.53-004829.1,149.11889895206502,-0.8081051858899979,21.635231,0.154537,19.044079,0.017348323,17.593319,0.010480087,16.574387,0.011946759,15.981294,0.016343655,15.8016,0.0042398344
SDSS J095656.07-004747.4,149.23364970421258,-0.796502957569275,17.20021,0.018629571,15.858879,0.0149032185,15.354498,0.009640401,15.1959305,0.011604944,15.15092,0.015793325,15.1241,0.0030394723
SDSS J095657.93-004929.5,149.24138572089674,-0.8248802862789235,18.768297,0.024847321,17.040216,0.015090115,16.36404,0.009803982,16.13437,0.011748568,16.005896,0.016341832,16.003,0.004963895
SDSS J095630.03-004734.2,149.12513124214004,-0.7928404100804116,21.535486,0.14801252,19.070711,0.017400065,17.971422,0.01089357,17.508339,0.0125143,17.183754,0.019053174,17.0704,0.00935297
SDSS J095608.75-004508.0,149.03649275935692,-0.752237813856952,20.308817,0.055240665,17.974686,0.014239563,17.034813,0.013895497,16.656322,0.015568561,16.439035,0.01809198,16.3801,0.0060208337
SDSS J095611.14-004922.1,149.04644401799615,-0.8228202949589011,21.455023,0.12855972,18.51932,0.014915857,17.033228,0.013892624,16.131182,0.015444956,15.6221285,0.017277326,15.4,0.003438526
SDSS J095555.81-004903.0,148.98257228771922,-0.817519411089648,21.889105,0.18846603,20.831987,0.034095068,20.495646,0.032834698,20.429743,0.04413557,20.05834,0.12167056,20.5229,0.16137123
SDSS J095526.79-004823.1,148.86165841184305,-0.8064392193708819,17.67581,0.021668911,16.023558,0.013885554,15.386368,0.011823833,15.149387,0.0140662,15.018668,0.012222295,14.9803,0.0027756637
SDSS J095532.72-004613.7,148.8863710614352,-0.7704868396382376,18.458742,0.024473201,16.862362,0.014034029,16.230186,0.011930612,15.98538,0.014157834,15.840385,0.012793283,15.8413,0.0044180322
SDSS J095546.93-004943.3,148.94556377573488,-0.8287156674527636,16.582144,0.020148097,14.745052,0.013802583,13.988818,0.011761115,13.725344,0.014012065,13.572041,0.011956213,13.457,0.0013413101
SDSS J095545.78-004936.4,148.9407893901403,-0.8267995890295293,19.693653,0.03834224,18.637976,0.01540945,18.16202,0.013131616,17.979767,0.015439299,17.852076,0.022175355,18.0942,0.01999649
SDSS J095545.57-004954.3,148.93990943436592,-0.8317650702231651,19.911465,0.04311814,19.319977,0.01714853,19.142332,0.016245525,19.026522,0.019954782,18.651205,0.039502542,18.6497,0.03263329
SDSS J095524.60-004637.5,148.852536620913,-0.7771011640257248,19.681276,0.03803852,18.055079,0.014595407,17.412428,0.012363195,17.14668,0.014543531,16.976774,0.01539557,16.9698,0.008767121
SDSS J095525.76-004954.0,148.8573656993743,-0.8316762053422075,20.783386,0.07861461,20.01508,0.021469146,19.698418,0.020080587,19.57385,0.024753409,19.451916,0.07167157,19.5579,0.07043389
SDSS J095525.93-004528.0,148.8580732317991,-0.757801580449517,20.228662,0.052471712,17.880945,0.014500771,16.913647,0.01211261,16.50813,0.014271236,16.254576,0.013353988,16.1981,0.0054065017
SDSS J095526.51-004947.7,148.86046668673066,-0.8299167448655366,19.702452,0.038698327,17.365585,0.014180841,16.372755,0.011959315,16.02627,0.014165596,15.823651,0.012774815,15.7148,0.0041930643
SDSS J095529.17-004607.9,148.8715801532693,-0.7688719466488741,21.775347,0.17409693,18.973864,0.01612543,17.520945,0.012434174,16.394552,0.014241638,15.762458,0.012715952,15.5839,0.003822663
SDSS J095529.83-004929.3,148.87433031124186,-0.8248199407972173,19.356483,0.032740958,18.382818,0.014986906,18.01421,0.0128689855,17.863308,0.015287113,17.769526,0.021181533,17.8195,0.016762078
SDSS J095535.93-004647.9,148.89972909300553,-0.7799799019270934,20.721306,0.0745544,18.693241,0.015496433,17.820595,0.012690554,17.488972,0.014805523,17.31054,0.017176483,17.2946,0.011027495
SDSS J095535.96-004806.0,148.89984965530704,-0.8016892885111433,20.639858,0.070256025,19.5446,0.018246407,19.081417,0.015717713,18.881893,0.01847547,18.73648,0.04002799,18.83,0.036262657
SDSS J095537.49-004904.7,148.9062281815217,-0.8179785316259385,20.730114,0.07509724,17.84882,0.014467212,16.39242,0.011948928,15.077874,0.01406173,14.371942,0.012064211,14.0571,0.001793466
SDSS J095537.48-004720.3,148.90618713486674,-0.7889742144549877,20.49495,0.06328006,17.710993,0.01438246,16.315224,0.011944405,15.644475,0.014111223,15.258163,0.012358022,15.1456,0.003033219
SDSS J095520.39-004537.1,148.83499273739434,-0.7603096996409126,21.397026,0.12630521,20.484888,0.027164346,19.971056,0.023178602,19.68195,0.026098747,19.501232,0.07492197,19.7123,0.07662652
