name,ra,dec,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z,yAperMag3_AB,yAperMag3Err_AB
SDSS J104514.57-005242.9,161.31074725894143,-0.8785964010371936,19.92309,0.031269133,18.899311,0.021266097,18.462265,0.017551176,18.257956,0.014849822,18.194273,0.027596366,18.2246,0.016123228
SDSS J104516.87-005031.7,161.3203088802594,-0.8421462763977611,21.904661,0.12816286,19.539112,0.02279705,18.293678,0.017286167,17.71035,0.01394567,17.415287,0.020045856,17.3298,0.008762215
SDSS J104519.43-005421.1,161.330976837294,-0.9058613134902458,20.859657,0.058627676,19.076176,0.021431139,18.418638,0.017546168,18.15043,0.014670116,17.998026,0.025412604,18.0078,0.01353989
SDSS J104527.56-005419.4,161.36484604543506,-0.9054120030563617,20.646238,0.049921267,18.582943,0.020832274,17.72356,0.016857607,17.404549,0.013653213,17.249355,0.019328315,17.2388,0.008227129
SDSS J104528.65-005655.9,161.36937540968995,-0.9488658238619531,19.960575,0.032587517,18.719542,0.021001125,18.219818,0.01728254,18.065954,0.014442149,17.941412,0.02468965,18.0827,0.014292663
SDSS J104618.94-005700.0,161.5789384765283,-0.9500214929960885,17.924479,0.020640561,16.656189,0.027574597,16.162317,0.018187767,15.978005,0.0133898845,15.904368,0.016591769,15.9474,0.0040075486
SDSS J104553.57-005023.1,161.47321443591153,-0.8397707311360204,21.376085,0.08734946,20.166508,0.026002508,19.743202,0.025145449,19.58629,0.022669045,19.516739,0.07211803,19.7112,0.051406033
SDSS J104558.37-010111.2,161.49324568378577,-1.0197928724273038,21.666565,0.11929563,20.59544,0.030236626,20.407213,0.03250453,20.270233,0.036397006,20.227873,0.13960715,20.4204,0.09501104
SDSS J104600.97-010007.3,161.50405939852857,-1.0020289549509536,23.536097,0.38267836,21.988691,0.071690924,20.66745,0.037002157,19.474056,0.021818299,18.93541,0.048209433,18.8006,0.0246657
SDSS J104608.16-005152.2,161.53402857277683,-0.8645062979039156,22.230095,0.17627594,22.204512,0.081950024,22.207254,0.115242906,21.86519,0.13243988,21.697565,0.29411685,0.634,
SDSS J104613.10-005527.6,161.55460885109417,-0.9243509832943422,21.937668,0.14347735,20.727388,0.030849233,20.459145,0.032635152,20.385462,0.03890987,20.255121,0.13982894,20.685,0.12059803
SDSS J104618.79-005121.7,161.57830554591254,-0.8560356059793701,18.474096,0.022149691,17.041718,0.027625607,16.547745,0.018231934,16.35689,0.013459237,16.285534,0.016981253,16.312,0.0051265205
SDSS J104621.72-005846.2,161.59051547515446,-0.9795254320687095,18.92729,0.023990773,16.374445,0.027549265,15.210188,0.018125957,14.76627,0.013278574,14.522519,0.015987493,14.4428,0.0019008933
SDSS J104625.44-005207.4,161.6060231417447,-0.8687410816587702,17.999187,0.02061863,15.706575,0.027515074,14.767208,0.018110648,14.369239,0.013263445,14.150821,0.015925257,14.0199,0.0015706422
SDSS J104633.47-005458.6,161.6394752826228,-0.9163012317423562,16.261337,0.018830547,14.975846,0.027491985,14.525899,0.018104656,14.362302,0.013264822,14.342899,0.015939338,14.3491,0.0018263004
SDSS J104646.40-005525.2,161.69335269243197,-0.9236903043017406,18.187931,0.021282932,17.169064,0.027631989,16.793484,0.018276062,16.636898,0.013547621,16.58921,0.01747592,16.7822,0.007767319
SDSS J104620.46-005942.6,161.58525086110194,-0.9951749120478494,21.810604,0.12546875,19.21959,0.028900046,17.853071,0.018666625,16.964886,0.013674606,16.483234,0.017385121,16.3837,0.0050783195
SDSS J104622.31-005235.1,161.59299597174524,-0.876438131051138,19.737339,0.032198574,18.110022,0.027905356,17.456993,0.018454526,17.216118,0.013797951,17.059933,0.018853093,17.0685,0.007576869
SDSS J104623.65-010048.3,161.5985744267687,-1.0134317928243701,20.753387,0.053514034,18.645504,0.02823651,17.729986,0.018597728,17.401108,0.013951177,17.214815,0.019758636,17.2152,0.008266796
SDSS J104631.54-005230.3,161.6314272667517,-0.875100267732506,19.413687,0.028463563,17.096151,0.027631331,16.240685,0.018197127,15.911534,0.013386796,15.76515,0.016466856,15.7328,0.004364741
SDSS J104632.05-010228.2,161.6335542807899,-1.0411871407506934,20.121687,0.037508696,17.397503,0.027691413,16.394127,0.018217787,15.998004,0.013392971,15.777824,0.016518747,15.7747,0.0037044373
